SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 28-Sep-2020, 28.45, 29.45, 30.50, 28.85, 29.00, 29.10, 29.40, 33196, 9.76, 393, 16822, 50.67
21STCENMGM, EQ, 28-Sep-2020, 10.15, 10.30, 10.30, 10.00, 10.25, 10.25, 10.06, 4212, 0.42, 53, 3903, 92.66
3IINFOTECH, EQ, 28-Sep-2020, 2.90, 2.90, 3.00, 2.90, 3.00, 3.00, 2.99, 8084265, 242.04, 1894, 5643914, 69.81
3MINDIA, EQ, 28-Sep-2020, 18204.90, 18400.00, 18477.80, 18201.00, 18420.00, 18361.85, 18340.98, 2588, 474.66, 1635, 1594, 61.59
619GS2034, GS, 28-Sep-2020, 101.00, 95.98, 95.98, 95.98, 95.98, 95.98, 95.98, 5, 0.00, 1, 5, 100.00
63MOONS, EQ, 28-Sep-2020, 66.55, 67.80, 69.55, 65.00, 68.70, 68.50, 67.41, 53745, 36.23, 1270, 25934, 48.25
716GS2050, GS, 28-Sep-2020, 110.00, 104.54, 114.00, 104.50, 113.95, 113.95, 104.56, 337, 0.35, 6, 336, 99.70
719GS2060, GS, 28-Sep-2020, 113.85, 113.75, 113.75, 113.75, 113.75, 113.75, 113.75, 2, 0.00, 2, 2, 100.00
A2ZINFRA, EQ, 28-Sep-2020, 4.10, 4.10, 4.25, 4.05, 4.25, 4.25, 4.17, 162383, 6.78, 153, 113575, 69.94
AARON, SM, 28-Sep-2020, 28.50, 30.25, 30.25, 28.75, 28.75, 28.75, 29.50, 12600, 3.72, 2, 12600, 100.00
AARTIDRUGS, EQ, 28-Sep-2020, 2951.25, 3025.00, 3054.00, 2970.00, 3045.00, 3038.85, 3020.10, 310942, 9390.77, 33564, 149172, 47.97
